forecast_dt,humidity
2025-10-29T12:00:00Z,61
2025-10-29T15:00:00Z,59
2025-10-29T18:00:00Z,57
2025-10-29T21:00:00Z,59
2025-10-30T00:00:00Z,53
2025-10-30T03:00:00Z,39
2025-10-30T06:00:00Z,39
2025-10-30T09:00:00Z,55
2025-10-30T12:00:00Z,62
2025-10-30T15:00:00Z,62
2025-10-30T18:00:00Z,64
2025-10-30T21:00:00Z,67
2025-10-31T00:00:00Z,59
2025-10-31T03:00:00Z,48
2025-10-31T06:00:00Z,43
2025-10-31T09:00:00Z,69
2025-10-31T12:00:00Z,73
2025-10-31T15:00:00Z,64
2025-10-31T18:00:00Z,75
2025-10-31T21:00:00Z,80
2025-11-01T00:00:00Z,75
2025-11-01T03:00:00Z,39
2025-11-01T06:00:00Z,47
2025-11-01T09:00:00Z,42
2025-11-01T12:00:00Z,45
2025-11-01T15:00:00Z,46
2025-11-01T18:00:00Z,34
2025-11-01T21:00:00Z,33
2025-11-02T00:00:00Z,34
2025-11-02T03:00:00Z,36
2025-11-02T06:00:00Z,38
2025-11-02T09:00:00Z,46
2025-11-02T12:00:00Z,45
2025-11-02T15:00:00Z,43
2025-11-02T18:00:00Z,45
2025-11-02T21:00:00Z,45
2025-11-03T00:00:00Z,41
2025-11-03T03:00:00Z,28
2025-11-03T06:00:00Z,22
2025-11-03T09:00:00Z,24
