Variable,Coef,abs_coefficient
18,661.287698459673,661.287698459673
4,-468.9035956306,468.9035956306
5,-448.735691712203,448.735691712203
8,418.923717419481,418.923717419481
3,-407.008166663443,407.008166663443
19,401.091827682892,401.091827682892
2,-319.63651531186,319.63651531186
20,318.721280611363,318.721280611363
21,317.362517691535,317.362517691535
6,-283.953988352461,283.953988352461
10,-248.614670191463,248.614670191463
11,-246.622488737401,246.622488737401
22,234.874883257759,234.874883257759
17,231.848090300063,231.848090300063
1,-208.490904101725,208.490904101725
13,-205.38393796273,205.38393796273
WINTER,-204.274712355627,204.274712355627
14,-204.212971578158,204.212971578158
12,-200.194562578557,200.194562578557
AUTUMN,160.185356136203,160.185356136203
15,-140.085133471053,140.085133471053
0,-108.396392883131,108.396392883131
9,-41.8668388659376,41.8668388659376
7,34.9277264121852,34.9277264121852
TEMPERATURE,25.1790599844743,25.1790599844743
16,-22.455101503838,22.455101503838
HUMIDITY,-8.45213817636254,8.45213817636254
WIND_SPEED,2.41556521289138,2.41556521289138
SPRING,2.31797944235188,2.31797944235188
VISIBILITY,0.00673157617611553,0.00673157617611553
SUMMER,0,0
23,0,0
